koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition
60.32494216,6.6188,20280.0,12.19,411.0,6.77,347.2,5485.0,4.556,0.867,15.403,CONFIRMED
29.1598615,4.803,488.0,1.91,524.0,17.85,11.6,5485.0,4.556,0.867,15.403,CONFIRMED
1.540397253,2.1541,816.1,25.69,1470.0,1105.68,38.8,5663.0,4.53,0.915,15.974,FALSE POSITIVE
2.99025443,5.414,589.2,1.7,918.0,168.45,48.5,4667.0,4.578,0.731,15.842,FALSE POSITIVE
1.594745374,1.9604,15044.0,11.3,1539.0,1329.42,1009.3,5934.0,4.491,0.893,15.53,CONFIRMED
4.783002698,2.335,1008.7,2.5,886.0,145.48,70.6,5170.0,4.574,0.807,15.119,CANDIDATE
20.50588921,4.0595,2105.5,3.41,518.0,17.06,78.5,4905.0,4.544,0.761,15.398,CONFIRMED
3.340218842,1.9104,1632.6,2.03,656.0,43.73,71.6,3950.0,4.754,0.493,15.954,CONFIRMED
2.507089906,2.0067,1339.2,30.26,1326.0,730.47,64.9,5926.0,4.506,0.939,15.555,FALSE POSITIVE
18.64932728,4.4056,893.6,3.12,701.0,57.13,46.1,5775.0,4.405,1.053,15.386,CONFIRMED
4.90144976,4.1654,140.7,1.7,1262.0,598.74,50.6,5847.0,4.191,1.402,12.487,CONFIRMED
9.75192101,4.793,418.0,2.76,870.0,135.66,28.5,5775.0,4.405,1.053,15.386,CONFIRMED
38.5576546,5.794,993.0,4.02,550.0,21.71,39.7,5775.0,4.405,1.053,15.386,CONFIRMED
3.525632539,2.59959,22335.0,11.58,975.0,213.12,1996.7,5150.0,4.572,0.793,15.224,CONFIRMED
34.84398644,2.9315,4523.6,7.61,511.0,16.1,76.8,5509.0,4.482,0.871,15.684,CANDIDATE
7.748094239,3.5957,2472.1,5.52,964.0,204.39,113.2,5973.0,4.439,1.085,15.67,CONFIRMED
23.96793669,3.827,1182.3,1.8,329.0,2.77,27.5,3747.0,4.728,0.524,15.414,CONFIRMED
8.11437482,2.2736,1558.0,2.1,460.0,10.55,56.4,3692.0,4.753,0.517,15.877,CONFIRMED
38.036729482,4.34617,82872.0,27.5,500.0,14.81,1300.0,5575.0,4.521,0.932,15.472,FALSE POSITIVE
4.64090031,35.512,2450.6,30.09,1155.0,421.08,296.9,6463.0,4.5,0.826,15.27,FALSE POSITIVE
3.747838198,5.0642,616.0,13.65,1031.0,266.76,138.2,5514.0,4.569,0.826,13.496,FALSE POSITIVE
14.74914825,6.0995,430.2,2.89,874.0,137.91,107.4,5847.0,4.191,1.402,12.487,CONFIRMED
21.81295996,4.3791,1175.4,3.38,639.0,39.33,37.8,5601.0,4.41,0.999,15.54,CONFIRMED
7.91936937,3.3148,15148.0,10.34,814.0,104.0,389.0,5690.0,4.588,0.776,15.805,FALSE POSITIVE
1.028436523,1.8606,8098.0,72.77,1947.0,3400.48,89.6,6228.0,4.428,0.99,15.202,CANDIDATE
15.37562369,3.3169,15337.0,11.01,600.0,30.54,166.0,4986.0,4.496,0.833,16.422,CONFIRMED
8.10363271,3.161,887.9,2.11,687.0,52.82,39.3,4861.0,4.574,0.732,15.289,CONFIRMED
4.71510843,2.506,417.5,1.46,823.0,108.84,21.3,4861.0,4.574,0.732,15.289,CONFIRMED
6.365839713,2.9721,780.7,2.44,914.0,165.33,70.8,5776.0,4.554,0.849,15.09,CONFIRMED
5.97581754,3.065,962.4,3.86,1047.0,284.25,50.3,6108.0,4.471,0.997,15.546,FALSE POSITIVE
2.446737317,4.7211,1177.9,26.25,1261.0,597.19,110.2,5764.0,4.548,0.863,15.021,FALSE POSITIVE
3.04033046,1.8411,10859.0,8.99,1021.0,257.29,568.2,5035.0,4.519,0.791,15.028,CONFIRMED
15.33528675,3.897,3081.4,5.0,610.0,32.67,86.6,5251.0,4.581,0.817,15.855,CONFIRMED
7.95825328,4.377,50.0,1.06,1074.0,314.15,14.7,5847.0,4.191,1.402,12.487,CONFIRMED
31.33046135,5.176,5073.8,6.5,481.0,12.61,117.2,5251.0,4.581,0.817,15.855,CONFIRMED
3.9043425,3.831,16228.0,12.28,1104.0,351.05,323.4,5810.0,4.526,0.898,15.016,FALSE POSITIVE
9.286358079,3.49949,44791.0,17.61,796.0,95.03,1671.1,5670.0,4.523,0.821,15.365,FALSE POSITIVE
3.951405455,2.1862,2453.9,31.44,1133.0,388.71,117.2,6046.0,4.539,0.869,15.446,FALSE POSITIVE
23.65369415,8.2183,3341.8,7.89,731.0,67.65,266.3,5739.0,4.191,1.384,15.084,CONFIRMED
13.23352214,6.7372,504.6,3.06,888.0,146.67,49.1,5739.0,4.191,1.384,15.084,CONFIRMED
6.15560285,4.9843,285.0,2.32,1146.0,406.94,35.1,5739.0,4.191,1.384,15.084,CONFIRMED
2.090811305,3.388,115.9,1.62,1642.0,1718.04,19.9,5739.0,4.191,1.384,15.084,CONFIRMED
3.180027898,3.5797,120.3,1.53,1458.0,1066.86,50.4,5847.0,4.191,1.402,12.487,CONFIRMED
50.4467417,7.159,370.3,2.67,568.0,24.64,19.4,5739.0,4.191,1.384,15.084,CONFIRMED
11.76307164,2.9076,1037.3,2.35,616.0,33.99,48.9,4959.0,4.603,0.756,15.208,CONFIRMED
56.2279271,3.57,862.7,2.37,366.0,4.22,20.9,4959.0,4.603,0.756,15.208,CONFIRMED
2.384052875,3.0918,1268.1,17.06,1010.0,244.87,50.5,4794.0,4.58,0.701,15.836,FALSE POSITIVE
7.953547,2.6312,875.4,2.25,696.0,55.37,38.4,4768.0,4.536,0.779,15.66,CONFIRMED
